employees.emp_id,employees.name,employees.age,employees.job_role,employees.salary,employees.project,employees.join_date,employees.department
319,Angela Santos,56,Manager,45424.09,Alpha,1998-10-02,HR
348,Rachel Walsh,47,Analyst,80654.17,Alpha,1976-02-04,HR
357,Nicole Carr,53,Consultant,52607.23,Alpha,1993-05-28,HR
393,Jamie Lucero,34,Engineer,55008.74,Alpha,1970-11-19,HR
460,Julie Dixon,45,Manager,88027.68,Alpha,1972-07-09,HR
467,Matthew Stuart,23,Consultant,93976.34,Alpha,2020-11-09,HR
488,Michael Ortega,27,Engineer,135928.25,Alpha,2022-10-24,HR
613,Theresa King,42,Analyst,77135.75,Alpha,1994-08-29,HR
651,Robert Olson,48,Developer,44897.23,Alpha,1970-05-20,HR
654,Dr. Tammy Davis,25,Developer,140853.76,Alpha,1980-03-20,HR
717,Valerie Hooper,34,Developer,149178.56,Alpha,2020-08-30,HR
728,Gary Johnson,51,Developer,141532.76,Alpha,1981-08-31,HR
898,Tara Krause,37,Developer,55896.73,Alpha,1977-03-11,HR
928,Gary Chan,36,Engineer,53220.66,Alpha,2011-11-29,HR
979,Lori Johnson,55,Developer,74124.1,Alpha,1991-01-28,HR
1000,Jennifer Hill,23,Manager,136875.72,Alpha,2012-10-08,HR
50,Shane Gonzalez,46,Analyst,106589.64,Alpha,1983-11-20,IT
118,Ryan Perkins,57,Consultant,40111.09,Alpha,2024-02-28,IT
141,David Craig,34,Analyst,103812.18,Alpha,1977-03-25,IT
162,Erik Dawson,31,Engineer,98107.6,Alpha,1976-10-03,IT
166,Chloe King,54,Developer,104324.98,Alpha,2008-08-01,IT
302,Angela Henry,37,Manager,120773.07,Alpha,2024-09-07,IT
469,Leah Howell,40,Engineer,110056.63,Alpha,1991-01-22,IT
517,Dennis Campbell,28,Manager,62788.43,Alpha,1986-05-20,IT
561,David Skinner,54,Developer,117606.94,Alpha,1983-03-07,IT
598,Penny Brown,58,Analyst,94240.21,Alpha,1984-09-25,IT
605,Rebecca Murphy,29,Developer,106572.19,Alpha,1982-01-25,IT
629,Reginald Stewart,32,Engineer,138164.92,Alpha,2019-08-09,IT
638,Kimberly Quinn,49,Engineer,141434.48,Alpha,1974-11-09,IT
643,Lori Brown,48,Developer,56239.04,Alpha,2007-01-11,IT
648,Jonathan Anthony,56,Manager,61470.82,Alpha,1990-05-13,IT
697,Jessica Johnson,60,Developer,40465.4,Alpha,1988-09-07,IT
759,Terri Kennedy,34,Engineer,48178.6,Alpha,2023-09-25,IT
821,Caitlin Vargas,37,Developer,81009.07,Alpha,1992-02-24,IT
850,Alexis Lee,23,Engineer,40680.84,Alpha,1980-08-05,IT
855,Terry Douglas,44,Consultant,54597.53,Alpha,2000-10-01,IT
904,Jesse Mendoza,60,Analyst,41781.47,Alpha,2024-06-26,IT
931,William Gonzalez,47,Engineer,137718.46,Alpha,1996-02-11,IT
942,Joseph Smith,32,Consultant,61112.7,Alpha,2012-01-19,IT
957,Angie Rodriguez,60,Engineer,114525.17,Alpha,2013-05-02,IT
994,Herbert Curtis,60,Consultant,40393.37,Alpha,1979-01-27,IT
52,Tara Taylor,34,Analyst,138123.48,Alpha,1996-01-24,Marketing
100,Nancy Johnson,48,Consultant,143957.99,Alpha,2018-02-19,Marketing
230,Julie Jimenez,40,Consultant,100878.86,Alpha,2020-01-12,Marketing
232,Chase Cooper,39,Manager,109787.4,Alpha,2004-12-07,Marketing
261,Michelle Marsh,57,Developer,111151.93,Alpha,2020-04-05,Marketing
269,Lauren Mcdonald,60,Manager,77155.12,Alpha,2000-09-30,Marketing
336,William Kent,38,Analyst,100299.73,Alpha,2021-03-09,Marketing
436,Laura Watkins,41,Manager,42870.17,Alpha,1980-10-18,Marketing
461,Michael Mcknight,59,Analyst,129776.28,Alpha,1986-07-08,Marketing
603,Kaitlin King,29,Developer,70449.14,Alpha,1986-09-14,Marketing
614,Traci Chapman,49,Manager,115245.8,Alpha,2017-04-14,Marketing
718,Daniel Pierce,51,Engineer,132373.59,Alpha,2008-05-15,Marketing
720,Joseph Bryant,36,Engineer,131195.16,Alpha,1988-08-15,Marketing
856,Erica Williams,38,Consultant,98282.11,Alpha,1992-10-08,Marketing
902,Michelle Lynch,43,Developer,94909.13,Alpha,2023-06-05,Marketing
908,Danielle Waters,22,Analyst,120705.45,Alpha,1999-03-31,Marketing
996,Mary Combs,39,Analyst,135526.27,Alpha,1983-02-19,Marketing
7,Mr. Andrew Wright,52,Developer,43137.57,Alpha,1982-09-20,Operations
30,Ashley Craig,26,Developer,47031.86,Alpha,2022-12-27,Operations
345,Thomas Sanchez,60,Developer,113934.15,Alpha,1973-10-05,Operations
407,Kyle Reed,50,Developer,49737.21,Alpha,1981-10-21,Operations
420,Vanessa Vasquez,58,Developer,149392.46,Alpha,1973-02-07,Operations
450,Sandra Wright,43,Consultant,67815.44,Alpha,2004-05-10,Operations
715,Sarah Pena,24,Consultant,111423.93,Alpha,2021-11-22,Operations
796,Mikayla Thomas,28,Engineer,145534.13,Alpha,1987-12-08,Operations
897,Andrew Martinez,43,Developer,139788.17,Alpha,1999-06-20,Operations
918,Debra Nelson,40,Analyst,143301.23,Alpha,2001-05-20,Operations
991,Justin Perry,40,Manager,138146.26,Alpha,1989-08-12,Operations
