employees.emp_id,employees.name,employees.age,employees.job_role,employees.salary,employees.project,employees.join_date,employees.department
192,Danielle White,56,Consultant,140585.04,Project5,2023-09-02,Operations
248,Omar Sosa,52,Analyst,124463.17,Project3,2017-03-04,Operations
316,Diana Torres,37,Developer,137240.97,Project5,2019-09-06,Operations
373,Kayla Carter,22,Analyst,92364.12,Project5,2022-03-18,Operations
377,Robin Brady,27,Consultant,113354.73,Project1,2018-01-08,Operations
389,Kenneth Baker,37,Manager,51679.42,Delta,2024-05-21,Operations
399,Laura Mahoney,26,Developer,88810.51,Gamma,2022-07-31,Operations
404,Gary Hanson,28,Developer,107285.54,Project5,2021-07-28,Operations
475,Dylan Franco,23,Engineer,132695.1,Delta,2019-07-20,Operations
547,Roger Small,49,Engineer,132303.6,Gamma,2019-11-20,Operations
570,Alejandro Beck,28,Analyst,133644.03,Delta,2016-07-21,Operations
578,Eric Webb MD,56,Engineer,42423.37,Delta,2018-11-11,Operations
596,Brandi Long,23,Engineer,58754.92,Project6,2022-01-13,Operations
650,Matthew Eaton,40,Developer,143680.07,Project1,2018-08-19,Operations
671,Cynthia Turner,47,Analyst,103892.55,Beta,2019-07-19,Operations
680,Dr. David Kelly DDS,42,Engineer,79671.16,Project3,2016-03-27,Operations
704,Diane Barnett,29,Engineer,145201.32,Delta,2023-03-28,Operations
710,Nicole Waters,44,Analyst,104077.35,Gamma,2019-11-03,Operations
715,Sarah Pena,24,Consultant,111423.93,Alpha,2021-11-22,Operations
769,Ashley Harmon MD,35,Consultant,51027.97,Gamma,2017-10-17,Operations
859,James Jacobs,33,Manager,45016.66,Gamma,2018-06-29,Operations
875,Aaron Wilson,50,Manager,40933.91,Project3,2022-10-14,Operations
888,Allen Harris,40,Engineer,58939.24,Beta,2019-10-25,Operations
