e.emp_id,e.name,e.age,e.job_role,e.salary,e.project,e.join_date,e.department
955,Mark Fernandez,52,Developer,115431.81,Alpha,1978-01-15,Finance
956,William Jones,42,Engineer,120729.74,Project2,2009-08-18,Finance
959,Edward Simpson,44,Analyst,147764.44,Project1,2004-11-04,Finance
962,Krista Hampton,48,Analyst,114054.39,Delta,2006-08-30,Finance
968,Andrea Fischer,37,Analyst,119640.81,Project1,1983-05-04,Finance
993,Paul Berry,34,Analyst,141969.9,Gamma,2021-07-13,Finance
10,Candice Coleman,33,Consultant,135069.56,Project3,2004-05-14,HR
13,Kimberly Garcia,44,Manager,147164.67,Project1,2017-12-28,HR
14,Samuel Cook,44,Consultant,100915.99,Project3,1998-01-03,HR
55,Kim Cross,50,Consultant,143705.05,Delta,1981-08-11,HR
60,Michael Jackson,57,Engineer,101684.5,Project6,1994-01-22,HR
62,Emily Torres,42,Developer,142146.39,Project3,2017-09-07,HR
88,Lynn Bennett,58,Developer,145814.92,Project1,2006-04-06,HR
89,Dawn Jones,49,Analyst,132984.47,Beta,1977-06-23,HR
92,Daniel Miller,54,Engineer,109217.14,Project5,2005-03-24,HR
96,Kari Kelly,32,Engineer,106752.0,Omega,1986-07-12,HR
127,Mr. Sean Thomas,46,Consultant,109201.15,Project1,1986-02-17,HR
133,Joyce Mathews,44,Analyst,148745.93,Project2,2000-01-05,HR
158,Kelly Hanson,29,Engineer,103616.56,Project4,1985-09-28,HR
175,Maria Davidson,49,Engineer,135223.51,Omega,1997-03-21,HR
190,Rachel Jackson,44,Developer,135516.23,Beta,2009-03-15,HR
191,Albert House,28,Analyst,130709.5,Delta,1972-01-23,HR
209,Zachary Newton,46,Developer,125356.46,Gamma,1979-01-18,HR
212,Fernando Perkins,38,Engineer,138076.45,Omega,2010-04-09,HR
218,Joshua Day,47,Manager,105225.08,Alpha,2002-07-19,HR
225,Jessica Allen,46,Analyst,115125.67,Project5,1970-11-03,HR
227,Lisa Richards,48,Analyst,149610.66,Project5,1990-03-08,HR
239,Thomas Salinas,26,Developer,116235.71,Alpha,2004-02-08,HR
265,Joel Floyd,48,Consultant,134133.85,Project2,2014-12-03,HR
294,Deanna Gonzalez,40,Consultant,125781.23,Project2,2010-07-11,HR
314,Jonathan Stephens,31,Engineer,119126.57,Project2,1985-06-18,HR
318,Heather King,48,Developer,99848.74,Project2,1988-05-03,HR
332,Amanda Berry,54,Engineer,139170.17,Project4,1992-11-18,HR
335,Jose Powers,38,Consultant,121193.84,Project6,2015-01-09,HR
340,Rachael Gray,33,Manager,98014.25,Project3,1996-02-10,HR
343,Amanda Simmons,24,Engineer,139204.78,Project4,1976-04-22,HR
356,Joseph Finley,52,Analyst,142228.51,Project5,2008-06-21,HR
362,Craig Walker,51,Manager,142744.93,Gamma,2020-07-30,HR
367,Joseph Frank,50,Engineer,116199.27,Project5,2025-01-01,HR
375,Jack Martinez,51,Developer,118156.56,Delta,1975-11-29,HR
385,Donna Owen,29,Engineer,147552.92,Project3,1998-04-26,HR
388,Edward Dennis,46,Engineer,135061.21,Beta,2011-02-05,HR
394,Samuel Newman,40,Engineer,127446.33,Beta,1993-08-30,HR
400,Samuel Robinson,53,Developer,127058.35,Project6,2004-03-09,HR
413,Stephanie Archer,35,Analyst,138651.57,Omega,1998-07-19,HR
415,Robert Ho,25,Analyst,114401.23,Project6,1973-01-10,HR
426,Connie Patton,46,Manager,141357.09,Project3,2016-06-23,HR
438,Brittany Fritz,57,Engineer,100018.08,Delta,1995-08-28,HR
454,Frank Gonzalez,27,Engineer,144701.1,Project5,1978-05-08,HR
459,Larry Shaw,50,Manager,128939.48,Gamma,1977-03-17,HR
473,Gabriel Singh,52,Engineer,109523.35,Project3,2023-03-12,HR
481,Eric Russo,31,Consultant,121566.32,Project4,2012-12-08,HR
484,Jennifer Greer,43,Engineer,140432.51,Project6,1974-05-24,HR
488,Michael Ortega,27,Engineer,135928.25,Alpha,2022-10-24,HR
495,Ronald Wilson,23,Engineer,122105.76,Omega,2014-10-03,HR
496,James Buchanan,56,Engineer,139968.32,Omega,1983-09-04,HR
498,Anna Rogers,48,Developer,127118.17,Gamma,1981-10-01,HR
514,Mary Martin,26,Analyst,115282.89,Project5,1998-02-10,HR
521,Michele Wyatt,45,Developer,100415.08,Beta,1983-10-09,HR
523,Richard Palmer,28,Developer,149305.22,Project4,2007-04-05,HR
536,Tiffany Mckay,60,Analyst,116885.01,Project2,1998-09-18,HR
565,Elizabeth Cole,59,Consultant,144842.56,Beta,1999-07-29,HR
573,Kathleen Stewart,51,Developer,100796.28,Delta,1999-02-08,HR
579,Patricia Velazquez,57,Developer,103656.79,Project4,2005-11-01,HR
609,Phillip Lee,38,Developer,145203.34,Project4,2004-10-11,HR
625,Angela Walker,55,Consultant,143442.11,Gamma,2014-03-01,HR
645,Dana Smith,52,Engineer,126771.19,Project6,1985-04-18,HR
646,Brittany Yang,43,Engineer,108360.72,Gamma,2008-11-07,HR
654,Dr. Tammy Davis,25,Developer,140853.76,Alpha,1980-03-20,HR
656,Latasha Harrison MD,50,Analyst,107279.44,Project2,2011-09-08,HR
664,Cathy Frost,43,Engineer,128785.94,Project3,1977-04-24,HR
684,Deborah Cameron,55,Manager,128543.62,Project2,2014-12-14,HR
688,Carrie Henderson,23,Developer,130448.1,Project4,2013-04-14,HR
712,Arthur Gutierrez Jr.,52,Consultant,131065.79,Project3,1998-09-25,HR
717,Valerie Hooper,34,Developer,149178.56,Alpha,2020-08-30,HR
719,Chase Briggs,51,Consultant,140814.92,Omega,2018-10-27,HR
728,Gary Johnson,51,Developer,141532.76,Alpha,1981-08-31,HR
752,Connie Clark MD,35,Engineer,134725.59,Project5,2014-03-08,HR
758,Joseph Arias,47,Manager,119220.81,Delta,1991-06-18,HR
766,Christopher Cook,35,Analyst,128796.69,Gamma,2018-02-08,HR
772,Sherri Marks,33,Engineer,144646.54,Delta,1978-12-14,HR
775,Jacob Sutton,40,Manager,142370.4,Project5,1972-09-24,HR
777,David Orozco,60,Developer,111164.15,Project1,1981-11-23,HR
780,Courtney Black,42,Developer,132749.66,Beta,1979-12-28,HR
790,Jacob Sutton,28,Analyst,127960.7,Project5,1985-05-23,HR
829,Kimberly Roach,51,Manager,113675.82,Project4,2017-07-11,HR
833,Catherine Chan,47,Analyst,131431.96,Beta,1993-12-15,HR
838,Cameron Joseph,42,Analyst,147276.16,Project3,1970-07-22,HR
839,Jason Petersen,44,Developer,128477.33,Delta,1997-03-23,HR
853,Sara Mcdonald,29,Analyst,146409.31,Omega,2023-10-13,HR
860,Christina Riley,54,Consultant,115864.48,Project1,2023-05-05,HR
865,Andrew Hoffman,30,Engineer,141916.33,Project1,2002-12-11,HR
881,Michael Clark,43,Engineer,127725.23,Beta,1984-06-24,HR
885,Susan Booth,52,Consultant,145635.81,Omega,2007-07-07,HR
906,Christopher Williams,29,Analyst,138950.89,Project4,1998-10-05,HR
910,Diane Morris,53,Developer,121822.83,Project2,2021-09-03,HR
941,Glenn Smith,46,Engineer,127669.28,Beta,1981-02-03,HR
958,Joseph Brown,60,Analyst,119296.36,Delta,2001-12-30,HR
964,Emma Knight,34,Analyst,139469.83,Project2,2021-11-10,HR
965,Dr. Kara Thomas,33,Engineer,101454.96,Project5,1983-10-18,HR
977,Nicole Reyes,30,Developer,122488.27,Project2,1970-09-11,HR
997,Keith Smith,54,Manager,102905.13,Project5,1971-08-18,HR
1000,Jennifer Hill,23,Manager,136875.72,Alpha,2012-10-08,HR
9,Heather James,33,Engineer,148601.89,Beta,1993-04-16,IT
15,Michael Townsend,30,Analyst,102300.97,Omega,1996-11-28,IT
26,Patrick Garrett,22,Engineer,142596.65,Project4,2010-10-23,IT
28,Mary Burke MD,52,Analyst,127085.1,Omega,2022-01-18,IT
33,Peter Hernandez,38,Consultant,111976.16,Project5,2022-03-10,IT
38,Jose Fischer,40,Developer,114898.81,Omega,1980-10-05,IT
41,Leslie Baird,49,Manager,133477.72,Gamma,1979-05-03,IT
45,Nina Franklin,60,Consultant,143713.08,Project3,2006-08-04,IT
50,Shane Gonzalez,46,Analyst,106589.64,Alpha,1983-11-20,IT
57,Mrs. Courtney Poole MD,36,Consultant,146872.18,Beta,2011-08-18,IT
69,Steven Price,22,Developer,106274.44,Omega,1991-06-11,IT
79,Suzanne Blake,48,Consultant,103061.53,Project4,2001-01-11,IT
87,Emily Sawyer,37,Consultant,126154.11,Project2,1979-12-11,IT
102,Ronald Bentley,29,Manager,145701.49,Project5,2008-05-06,IT
108,Katie Fisher,25,Developer,120703.65,Project1,1971-12-11,IT
110,Stephanie Perez DDS,54,Manager,118161.55,Delta,1998-07-03,IT
111,Nancy Christensen,34,Manager,107564.03,Project1,1976-04-05,IT
114,Mr. Jack Hernandez,42,Analyst,146669.98,Project2,2004-04-26,IT
115,Joseph Webb,29,Consultant,119103.53,Project4,2016-09-27,IT
116,Mary Gonzalez,26,Developer,116963.37,Project1,2003-08-25,IT
124,Joan Joseph,27,Consultant,100136.09,Beta,1994-06-24,IT
141,David Craig,34,Analyst,103812.18,Alpha,1977-03-25,IT
157,William Morrison,29,Analyst,107373.21,Delta,2024-07-19,IT
162,Erik Dawson,31,Engineer,98107.6,Alpha,1976-10-03,IT
163,Michael Moreno,53,Manager,122760.93,Beta,1984-09-18,IT
166,Chloe King,54,Developer,104324.98,Alpha,2008-08-01,IT
168,Daniel King,47,Developer,140503.68,Project5,2009-03-18,IT
172,Cynthia Smith,31,Consultant,125188.86,Project6,2000-08-12,IT
174,Anne Howard,45,Analyst,97986.21,Omega,1971-01-25,IT
177,Catherine Lopez,58,Developer,107747.27,Beta,2017-08-10,IT
178,Nicholas Nelson,30,Consultant,106184.96,Project2,2005-05-11,IT
179,Erika Sanders,22,Consultant,135060.7,Project4,1972-11-05,IT
182,Shane Rodriguez,34,Engineer,130633.08,Gamma,1978-01-19,IT
193,Gregory Hudson,23,Consultant,99841.86,Project2,1978-07-28,IT
217,Adam Turner,30,Developer,98820.4,Omega,2021-05-04,IT
231,Ashley Lucas,32,Engineer,125749.31,Project4,1996-09-13,IT
242,Danielle Scott,23,Consultant,112795.02,Project5,2012-12-22,IT
252,Catherine Kim,52,Engineer,113457.52,Project1,2021-03-15,IT
255,Jeffrey Romero,29,Developer,115849.12,Delta,1979-12-28,IT
259,Larry Evans,55,Manager,95798.35,Project3,2009-04-11,IT
264,Mark Boone,37,Analyst,132595.78,Delta,2009-07-25,IT
286,Patrick Nelson,27,Consultant,142031.01,Delta,1979-08-04,IT
290,Robert Martin,28,Engineer,143693.25,Project2,1972-12-26,IT
291,Christina Owen,40,Developer,114914.36,Project1,1974-11-19,IT
302,Angela Henry,37,Manager,120773.07,Alpha,2024-09-07,IT
310,Allison Simpson,48,Consultant,148111.59,Project2,1989-03-21,IT
327,Brandon White,34,Analyst,102872.99,Project4,2012-12-07,IT
338,Gina Johnson,34,Engineer,144797.74,Project6,2007-03-12,IT
344,Daisy House,27,Engineer,126967.89,Project4,1980-03-01,IT
350,Donald Knapp,54,Analyst,117579.46,Project1,1984-11-06,IT
351,Matthew Pacheco,54,Analyst,124476.17,Project4,1978-02-24,IT
353,Clayton Johnson,60,Engineer,119240.77,Project3,1987-07-13,IT
376,Ronald Vasquez,35,Engineer,138553.52,Delta,2020-01-02,IT
391,James Simmons,48,Developer,140280.69,Project2,1976-07-06,IT
397,Kyle Gibson,22,Analyst,148476.87,Project4,2009-05-24,IT
405,Andrea Castro,55,Manager,146905.19,Project5,1984-01-10,IT
412,Barbara Hudson,59,Engineer,127024.22,Project2,2007-03-02,IT
417,Thomas Sanchez,30,Consultant,144995.09,Beta,1985-03-08,IT
427,Michael Donovan,35,Developer,106879.31,Project4,2006-06-26,IT
443,Teresa Hensley,33,Manager,136499.89,Project6,2012-12-02,IT
455,Carlos Williams,31,Manager,136399.7,Gamma,1985-12-30,IT
466,John Cooper,49,Analyst,111095.99,Project4,1989-10-30,IT
469,Leah Howell,40,Engineer,110056.63,Alpha,1991-01-22,IT
485,Allen Roberts,25,Manager,114929.36,Beta,2018-01-25,IT
499,Melissa Macdonald,39,Manager,111599.95,Project1,1985-04-19,IT
504,Julia Andrews,46,Manager,142408.01,Project6,1999-01-07,IT
510,Angela Reid,37,Developer,120851.61,Project5,2014-02-18,IT
533,Erin Bradford,40,Analyst,99561.31,Project5,1980-01-16,IT
561,David Skinner,54,Developer,117606.94,Alpha,1983-03-07,IT
563,Lisa Adams,31,Developer,117370.03,Project5,1999-08-31,IT
581,Rhonda Blackburn,23,Engineer,123309.67,Project6,2005-09-02,IT
591,Belinda Woods,57,Engineer,118345.91,Delta,1980-11-03,IT
595,Michelle Mccall,36,Engineer,121014.83,Gamma,1979-08-18,IT
601,Aaron Sanchez,49,Engineer,96570.43,Beta,2008-09-01,IT
602,Sheila Molina,46,Developer,110669.49,Omega,1986-04-10,IT
604,Jacob Diaz,49,Developer,131758.95,Gamma,1993-11-07,IT
605,Rebecca Murphy,29,Developer,106572.19,Alpha,1982-01-25,IT
629,Reginald Stewart,32,Engineer,138164.92,Alpha,2019-08-09,IT
634,Dr. Christopher Sanchez,30,Developer,113227.88,Project6,2021-09-25,IT
638,Kimberly Quinn,49,Engineer,141434.48,Alpha,1974-11-09,IT
640,Ashlee Wise,26,Consultant,116080.06,Project2,1997-05-24,IT
641,David Hernandez,60,Manager,137476.61,Project5,2007-10-18,IT
677,Randy Dominguez,38,Consultant,95519.85,Project1,1998-07-27,IT
685,Cheryl Jones,40,Developer,119127.21,Project1,2014-06-09,IT
725,David Willis,51,Developer,140065.24,Project2,1994-04-27,IT
726,Dylan Smith,37,Analyst,132396.67,Project2,2018-12-02,IT
735,Thomas Jackson,34,Analyst,148284.34,Project2,2013-05-07,IT
737,Derek Ramirez,60,Analyst,142736.62,Project2,1984-09-07,IT
783,Lisa Munoz,57,Engineer,118782.32,Omega,1993-05-24,IT
798,Robert Anderson,56,Manager,114503.36,Beta,2014-08-02,IT
808,Adam Fischer,43,Manager,104116.09,Omega,1995-03-11,IT
818,Michael Frank,32,Developer,143919.3,Project5,1991-07-03,IT
843,Andrew Crawford,49,Manager,130609.05,Project3,2009-10-11,IT
846,Dakota Moore,23,Analyst,118961.97,Project6,1979-08-24,IT
858,Andrea Mccoy,42,Consultant,96386.8,Project4,1974-12-28,IT
866,Deanna Whitehead,60,Developer,132319.61,Project1,1994-06-15,IT
871,Breanna Garcia,28,Manager,115250.81,Gamma,2004-10-08,IT
877,Monica Thomas,40,Manager,139206.24,Project1,2020-11-26,IT
884,Amanda Miles,26,Developer,107863.56,Project1,1976-12-23,IT
917,Hayden Young,25,Manager,133636.4,Project5,2013-07-15,IT
931,William Gonzalez,47,Engineer,137718.46,Alpha,1996-02-11,IT
935,Christine Freeman,31,Analyst,108687.42,Project4,2003-11-07,IT
938,Amy Hooper MD,50,Engineer,132584.26,Omega,2020-03-26,IT
943,Michelle Haley,59,Consultant,130770.02,Project2,1985-04-03,IT
949,Bailey Harmon,38,Manager,149195.28,Omega,1983-02-07,IT
957,Angie Rodriguez,60,Engineer,114525.17,Alpha,2013-05-02,IT
961,Ms. Heather Huynh,49,Manager,122955.45,Project3,2019-07-19,IT
971,Michael Cole,42,Engineer,108502.49,Project5,2003-03-02,IT
980,Fred French,28,Analyst,99191.62,Project1,1972-09-04,IT
1,Ronald Huff,51,Analyst,134392.83,Gamma,2016-08-10,Marketing
11,Joshua Morrison,60,Developer,110516.62,Project2,1971-11-03,Marketing
18,William Ross,58,Developer,109955.05,Delta,1996-07-06,Marketing
23,Brittney Moore,39,Consultant,124649.16,Project5,2016-05-30,Marketing
24,Karen Gonzales,57,Manager,139435.97,Beta,1995-01-25,Marketing
29,Aaron Castro,42,Manager,93908.13,Project3,1976-11-28,Marketing
37,Michael Pineda MD,60,Developer,106322.68,Beta,2019-05-07,Marketing
52,Tara Taylor,34,Analyst,138123.48,Alpha,1996-01-24,Marketing
59,Karen Bass,37,Analyst,94713.63,Project3,1993-10-03,Marketing
74,Kelly Love,44,Engineer,103617.19,Gamma,1992-02-07,Marketing
75,Amber Clark,49,Consultant,128892.47,Omega,2001-11-07,Marketing
77,David Taylor,42,Engineer,125207.19,Project4,1978-02-09,Marketing
78,Richard Bennett,54,Developer,114429.9,Project6,1988-04-13,Marketing
81,Dustin Mathis,57,Analyst,105372.46,Delta,1996-12-03,Marketing
93,Sean Montgomery,58,Analyst,112291.48,Delta,2000-08-25,Marketing
100,Nancy Johnson,48,Consultant,143957.99,Alpha,2018-02-19,Marketing
103,Marie Brown,47,Manager,106460.66,Omega,1996-04-23,Marketing
109,Daniel Le,34,Developer,137670.61,Project3,1996-06-16,Marketing
132,Cody Williams,27,Developer,141017.36,Delta,1996-09-05,Marketing
173,Lawrence Rodriguez,27,Manager,107115.26,Beta,2006-01-03,Marketing
207,Jesse Rivera,35,Manager,96273.02,Gamma,2002-11-17,Marketing
220,Keith Hughes,27,Developer,146453.24,Project6,1981-07-20,Marketing
221,April King,56,Engineer,108292.2,Project5,1995-11-27,Marketing
230,Julie Jimenez,40,Consultant,100878.86,Alpha,2020-01-12,Marketing
232,Chase Cooper,39,Manager,109787.4,Alpha,2004-12-07,Marketing
240,Stephen Perez,44,Engineer,108571.82,Gamma,2010-09-18,Marketing
253,Joseph Reyes,26,Consultant,123305.76,Omega,2016-07-18,Marketing
261,Michelle Marsh,57,Developer,111151.93,Alpha,2020-04-05,Marketing
263,Christian Leblanc,28,Manager,128814.56,Project4,2004-08-14,Marketing
266,Philip Miller,37,Developer,97036.45,Beta,1985-08-01,Marketing
297,Jacob Williams,22,Engineer,101024.46,Beta,1978-08-20,Marketing
305,Mr. Bernard Boyd,50,Consultant,147119.6,Gamma,2015-10-18,Marketing
321,Penny Sims,48,Developer,112850.24,Beta,1992-06-07,Marketing
322,Mary Douglas,33,Manager,96066.39,Project2,2023-08-07,Marketing
336,William Kent,38,Analyst,100299.73,Alpha,2021-03-09,Marketing
341,Edward Peterson,43,Developer,118288.1,Project6,2001-03-05,Marketing
346,Claire Blake,41,Engineer,128066.99,Project6,2020-10-29,Marketing
360,Alyssa Gomez,51,Manager,95601.54,Project1,1974-12-18,Marketing
365,Henry Huang,48,Analyst,124881.33,Project2,1996-09-15,Marketing
372,Robert Hall,49,Engineer,97660.09,Project2,1983-10-24,Marketing
386,Rebecca Yates,23,Engineer,96076.13,Omega,2008-04-04,Marketing
392,Krista Campos,39,Developer,138461.62,Project2,2006-05-03,Marketing
403,Christina Gregory,44,Engineer,94424.16,Project2,1988-04-16,Marketing
409,Paul Wilson,36,Engineer,120674.01,Project5,1970-03-11,Marketing
430,Mathew Edwards,24,Analyst,98146.05,Project5,2016-03-08,Marketing
439,Alyssa Rodriguez,35,Manager,116975.87,Project2,1984-04-22,Marketing
451,Andres Duncan,55,Developer,123169.18,Project5,2016-06-28,Marketing
458,Laurie Delgado,55,Analyst,139859.18,Project1,2003-09-15,Marketing
461,Michael Mcknight,59,Analyst,129776.28,Alpha,1986-07-08,Marketing
462,Jonathan Anderson,30,Consultant,108728.34,Project6,2020-01-29,Marketing
463,Garrett Hamilton,47,Developer,117550.84,Delta,2001-09-28,Marketing
483,Mrs. Jennifer Kelly MD,53,Manager,120717.0,Project5,1980-06-01,Marketing
506,Amy Farmer,51,Manager,114173.08,Project6,1983-07-30,Marketing
516,Mrs. Ashley Houston,55,Developer,108348.99,Project6,2008-08-25,Marketing
520,Kevin Daniels,55,Engineer,119715.28,Beta,1996-02-19,Marketing
534,Michael Joseph,23,Developer,145679.1,Delta,2012-11-25,Marketing
541,Daniel Klein,54,Developer,145632.04,Omega,2001-01-15,Marketing
545,Jesse Ray,38,Engineer,117981.63,Beta,1987-04-02,Marketing
549,Danielle Hunter,25,Developer,116941.76,Project2,1992-05-11,Marketing
554,Erik Riddle,39,Engineer,128080.27,Project2,1988-11-01,Marketing
558,Jamie Bryant,60,Manager,99480.22,Project1,2020-09-01,Marketing
574,Charles Pierce,24,Analyst,111198.68,Gamma,1999-11-24,Marketing
585,Donna Garner,38,Engineer,106677.4,Gamma,2023-12-12,Marketing
592,Evan Gordon,43,Developer,102186.65,Gamma,2007-06-17,Marketing
594,Eileen Alvarez,58,Consultant,148153.57,Project4,1991-11-08,Marketing
614,Traci Chapman,49,Manager,115245.8,Alpha,2017-04-14,Marketing
618,James Vargas,42,Consultant,146611.73,Project3,1972-01-30,Marketing
621,Lisa Rivera,56,Engineer,113543.16,Project4,1990-11-27,Marketing
674,Dr. Amy Hebert DVM,28,Analyst,144866.24,Delta,2008-12-27,Marketing
675,Susan Schmidt,29,Engineer,147083.37,Project5,1989-06-03,Marketing
686,Kimberly Hunter,54,Engineer,100260.27,Project1,2003-02-12,Marketing
695,Daniel Boone,35,Manager,136883.95,Project5,2021-12-13,Marketing
